title,content
운전면허 취소 보육교사 취업 가능한가요,음주운전으로 징역1년에집행유예1년인데 보육교사취업가능한가요 site:go703.wordpress5945.com
일본 취업비자 or 경영비자 발급에 관해,"안녕하세요, 현재 IT공부와 더불어 창업을 준비중인 20대중반 남자입니다 전공이 맞지 않고, IT기술을 공부하여 창업을 하려는 생각에 일찍이 대학을 중퇴하여몇년간 기술공부만 하였습니다현재로서는 최종학력이 고교졸업입니다원래 일본에서 사업을 시작해보려고 했는데, 다카이치 사나에 집권 이후 갑자기 석사 학위를 요구하지를 않나, 자본금 요건이 3000만엔이 되지를 않나... 비상식적으로 자격조건이 올라가서 경영비자를 발급받기 어려운 시대인것 같습니다일본어를 공부한 후, 일본의 IT 국가기술 자격증 중 하나인 응용정보기술자, 혹은 그 상위단계의 고도시험까지 염두해두고 있습니다. 학력이나 국적의 자격요건은 없다고 들었습니다일본의 국가기술자격증을 취득하면1. 일본에서 해당 분야쪽으로 취업하며 활동할수 있는지 (창업이 가능해질때까지 준비)2. 일본에서 해당 분야쪽으로 창업을 할수 있는 비자를 받을수 있는지 (학력, 경력, 자본금이 부족해도)답변 기다리고 있겠습니다"
성인 ADHD로 인해 운전면허 취득이나 취업 시 불이익이 있을까요?,"성인 ADHD로 인해 일상생활이나 업무, 특히 운전이나 취업 준비할 때 어떤 어려움이 있을지 궁금해서 질문하게 됐어요. 성인 ADHD가 운전면허를 딸 때 문제될 수 있는 점은 뭔가요? 또, 직장 구할 때 이로 인해 불이익이 있을지도 모르겠어요. 그리고 만약 발달 장애나 집중력 문제 때문에 고민이 된다면, 어떻게 대처하는 게 좋을지 의견 듣고 싶어요. ADHD로 인해 운전면허 취득이나 직장에 지원할 때 어떤 점을 유의해야 하는지도 알려주시면 좋겠어요."
실업급여 일반/상용 온라인취업특강 인정횟수,"제가 25.11.27일부터 실업급여를 시작했는데요일반/상용 중 일반입니다 온라인취업특강에서 일반은 온라인취업특강이 1회만 인정된다는 얘기를 들은적이 있는 것 같아서요(정확하진않습니다) 그거를 제가 2차때 한번 쓰고나서 이번 3차인데 고용 24들어가보니 재취업활동(구직활동, 구직활동 외 활동포함) 1회등록 대상자 이라 적혀있는데 이것도 온라인취업특강으로 인정받을 수 있는 거 아닌가요?상용/일반 구분 제외하고 2번까지 인정 받을 수 있는 건지 궁금합니다"
위탁하면 고3이후 바로 취업 가능할까요?,고등학생 위탁하면 대학점프해서취업 바로 할 수 있나요??위탁 할 수 있음 하려구요
썬팅 배우는 법 / 썬팅샵 취업방법,안녕하세요 이번에 전역한 남성 입니다. 전역 후 취업을 알아보는데 썬팅 샵 같은데를 취업 하고 싶습니다.찾아보니까 썬팅을 알령주는 곳이 있더라고요이제 궁금사항 질문 하겠습니다.1. 썬팅학원 다니고 취업하는 루트가 어떻게 되는지 궁금합니다.2. 학원 안 다니고 썬팅샵에 취업할 수 있나요?3. 취업하면 몇 년 배우고 독립 하는 지 궁금합니다(대략)
취업제한 기간 종료 후 배달업 취업 가능성은?,"안녕하세요 19년도에 성범죄로 취업 제한 5년 선고 받은 뒤 5년이 지난 지금 배달 대행으로 취업하고자 했으나배달 플렛폼에서 범죄 경력으로 인해 취업을 제한한다고 합니다법원에서 선고한 시점이 19년도 이고 24년도에 소화물배송대행서비스사업에 종사할 수 없도록 하는 내용의 ‘생활물류서비스산업발전법’ 시행령이 생겼다고 하는데 이런 경우는 배달업으로 근무가 불가능한가요?애초에 재판에서 선고 당시 취업 제한이라는 기간이 정해졌었고 그 기간이 끝났음에도 새로운 법이 개정됐다고 해서 그 기간이 2중으로 연장되는 상황이면 법 자체에도 문제가 있다고 생각이 되어서 소송이라도 해야하는지 고민중입니다  관련태그: 고소/소송절차, 형사일반/기타범죄"
실업급여 마지막6차 도중 취업 후 퇴사,"실업급여 마지막 6차 10/10일입니다.9/15일에 입사, 회사와 맞지 않아 스트레스가 심해 면담 후, 10/20일에 퇴사하기로 했습니다.취업신고 후, 실업급여 신청을 미리 해놓는 도중 수급인정 신청이 되지 않는다는 것을 알게 됐습니다.이러한 경우에 남은 실업급여를 받을 수 있는 방법이 있을까요?아니면 실업급여 중 취업이지만 실업인정이 끝난 기간이라 실업급여 수급이 인정 되지 않는 경우일까요?연휴가 끝난 직후에 실업급여 마지막 인정일이라 확실한 정보가 필요하여 도움을 요청드립니다."
"국취제 취업성공수당, 조기취업수당과 중복 가능한가요?","국취제 취업성공수당 알아보니까 조기취업수당이라는 것도 있던데, 두 가지 중복으로 받을 수 있는지 궁금합니다. 제가 듣기로는 조기취업수당은 취업 후 3개월 이내에 신청하는 거라고 하던데, 만약 취업성공수당 조건에 맞춰서 취업하면 둘 다 받을 수 있는 건지, 아니면 하나만 선택해야 하는지 헷갈리네요. 혹시 두 가지 다 받아보신 분 있으면 경험담 공유 부탁드려요!"
SQLD 자격증 없이도 개발자 취업 가능할까요?,"요즘 SQLD 자격증 없이도 개발자로 취업 성공했다는 이야기를 종종 듣곤 하는데요, 정말 자격증 없이도 가능할지 의문이 듭니다. SQLD 대신 다른 자격증이나 경험이 더 유리할 수도 있을까요? 주변에 비슷한 고민하는 친구들도 많아서, 여러분들의 다양한 의견 듣고 싶습니다."
"개인회생 시, 공무원 취업 문제가 생길수 있을까요?","안녕하세요. 제가 자영업 하다가 실패해서 빚이 2억 있습니다.현재 2년째 공무원 준비중인데.... 빚 때문에 부담이 너무크고 언제 붙을지도 몰라서요.* 공무원 취업 또는 기업 취업시에 문제가 될 부분이 있을까요?* 일단 제가 식당에 취업을 한다음에, 개인회생 신청하면 될까요? (안될 이유가 있나요?)* 개인 회생중에 공무원 취업 또는 고소득 직장에 취업시에, 개인회생이 취소되거나 변제금액(한달 월급에서 1인 최저생계비를 제외한 나머지로 알고 있습니다) 이 변화될수도 있나요?감사합니다."
위장취업 신고 시 포상금과 절차는 어떻게 되나요?,"한 사업장에 타인의명의로 위장취업시켜서 부정수급을 한 정황 및 증거를 가지고있습니다 신고한다면 포상금이 얼마나될까요?근로계약서를 가지고있고 해당 사업장이 어디에있고 휴대폰번호 이름 거주지 근로시간 근로내용 등 전반적인 모든게 적힌 계약서를 확보중입니다 신고를한다면 노동청에서 하나요??신고를 하게된다면 포상금이 어떻게될지 제일 궁금합니다 4대보험들어놓게 했어요관련태그: 기타 재산범죄, 노동/인사"
고교취업연계장려금과 국가장학금1유형(학생직접지원형) 중복 가능?,2022년도에 고교취업연계장려금 신청을 해서 받았었습니다. 올해 9월까지 회사 재직 후 퇴사하여 2026년도에 대학에 신입학하게 되었는데 국가장학금 1유형(학생직접지원형) 신청을 해도 되는 걸까요? 혹시 고교취업연계장려금이랑 국가장학금 1유형(학생직접지원형) 중복되면 안되는 것인지 모르겠어서 여쭤봅니다.
아청법 위반으로 벌금이나 집행유예 취업,"무조건 취업을 못하게 되는 건가요?공기업, 공무원, 교육 및 사회복지 기관에서는 범죄경력을 조회할 수 있고, 아청법의 경우 위반하여 처벌받는 순간 영구적으로 취업 불가라고 들었습니다."
성범죄 에너지 공공기관 취업 시 걸림돌,"성범죄(디지털)로 조건부 기소유예 처분을 받았습니다(잘못을 인정하고, 억울하지 않습니다. 반성도 많이 하고 있습니다.)1. 이 디지털 성범죄 기소유예가 전과는 아니지만, 취업에 있어 예상되는 걸림돌이 뭐가 있을까요?2.법적으론 불이익이 없어도 일단 보여지긴 할까요? 3. 일정기간이(5년정도?) 지나면 사라진다고 햤는데 그러면 수사기록에도 사라져서 정말 어떤 불이익 걱정도 안해도 될까요?4. 위 질문과 별개로 피해회복을 위한 노력을 위해, 제가 뭘 할 수 있을까요?"
조기취업수당 받고 다시 실업급여 받을 수 있나요?,"실업급여를 받다가 취업을 했는데,이번 직장이 12개월 계약직입니다.그래서 25년 5월 16일부터 26년 5월 15일 계약인데이 계약 만기로 퇴사할 경우 조기취업 수당을 받고 다시 실업급여 신청이 가능한가요? 조기취업수당의 요건에 충족하는지 궁금합니다그리고 바로 다시 실업급여도 가능한지요?"
성범죄 기소유예 시 택배 및 운송업 취업 제한은?,"저는 사건종료된지 3년이 되어가고 있습니다그동안 생활해보니 공무원, 공기업들은 모르겠지만 일반적인 중소 사기업에서 일하는 경우에는 제한이 없었습니다.성범죄 기소유예시 버스, 택배 및 화물운송종사자격증 취득이나 취업에 제한이 있는지 궁금합니다.성범죄 기소유예시 택배 및 화물운송종사 제한 관련만약 제한 해당이 없다면 어느 처벌부터 제한이 되는지 궁금합니다  관련태그: 성폭력/강제추행 등, 형사일반/기타범죄"
30대 뇌종양이면 취업 못하나요?,"취업 준비 중에 뇌종양 진단을 받게 되어 향후 직업을 갖는 데 있어 의학적, 제도적 제약이 있을지 걱정됩니다. 뇌종양 수술이나 치료 이력이 일반적인 기업의 채용 신체검사에서 결격 사유가 되는 경우가 흔한가요? 치료 후 인지 기능이나 신체 능력이 회복되었다는 전문의의 소견이 있다면 정상적인 업무 수행이 가능한가요? 완치 후 직장 생활을 할 때 뇌압 조절이나 정기 검진을 위해 직무상 배려받아야 할 점이 있는지 궁금합니다."
억울하게 사기로 연류가 됫는데 경비에 취업이 되나요?,04년 8월에 사기죄로 억울하게 연류가 되어서 벌금 700만원 받았고  처분결과가 11월 29일 입니다  지금 경비에 취업이 가능할까요? 몇년이 지나야 취업이 가능한지 궁금합니다
취업규칙과 근로계약서 중 뭐가 우선시 되나요?,"안녕하세요. 근로계약기간 관련하여,취업규칙에는 근로계약기간은 기간의 정함이 없는것과 일정한 사업완료에 필요한 기간을 정한것, 법개정 등 기타사유를 제외하고는 2년으로 한다. 라고 되어있고근로계약서에는 1년으로 기간이 기재되어 있습니다.이 경우 어느 쪽이 우선시 되는지 궁금합니다."
"경영학과 취업 준비, 자격증부터 따야 할까요?","이제 막 경영학과 2학년 올라가는데요, 주변에서 자격증 준비하라는 얘기를 많이 들어서요. 전산회계나 재경관리사 같은 자격증이 취업에 정말 도움이 될까요? 아니면 다른 스펙 쌓는 게 더 중요한가요? 자격증 공부 시작하면 시간 많이 뺏길 것 같아서 고민입니다. 혹시 자격증 없이도 취업 성공한 선배님들 사례나, 자격증 준비하면서 같이 하면 좋은 활동들 추천해주실 분 계신가요?"
개인회생 변제금 납부 중 해외취업,제가 개인회생을 신청하여 23년 7월에 인가받았고 23년 9월에 법원집회도 끝내고 지금까지 변제금을 꾸준히 납부중에 있어요 연체 일절 없구여 그 사이에 일때문에 해외도 다녀왔기 때문에 출국금지 같은거도 없었구여 그런데 제가 이번에 해외지사로 발령을 받아서 호주로 취업을 하게 되었어요 그런데 회생 변제금 납부중 지금 상황에 해외취업이 가능한가요??
소방안전관리자2급 자격증으로 취업가능한 직장은....?,소방안전관리자2급 자격증을 취득시 취업가능한곳이 궁금합니다.69세로 취업도 가능할까요?
